Country,Continent,Area,BirthRate,DeathRate,InfantMortality,LifeExpectancy,FertilityRate,Population,UnemploymentRate,HIV/AIDSAdult,HIV/AIDSDeath,HIV/AIDSLiving
Afghanistan,Asia,647500,47.02,20.75,163.07,43,6.75,29928987,,0.01,,
Albania,Europe,28748,15.08,5.12,21.52,77,2.04,3563112,14.8,,,
Algeria,Africa,2381740,17.13,4.6,31,73,1.92,32531853,25.4,0.1,500,9100
American Samoa,Oceania,199,23.13,3.33,9.27,76,3.25,57881,6,,,
Andorra,Europe,468,9,6.07,4.05,84,1.29,70549,0,,,
Angola,Africa,1246700,44.64,25.9,191.19,37,6.27,11190786,,3.9,21000,240000
Anguilla,North America,102,14.26,5.43,21.03,77,1.73,13254,8,,,
Antigua and Barbuda,North America,443,17.26,5.44,19.46,72,2.26,68722,11,,,
Argentina,South America,2766890,16.9,7.56,15.18,76,2.19,39537943,14.8,0.7,1500,130000
Armenia,Europe,29800,11.76,8.16,23.28,72,1.32,2982904,30,0.1,200,2600
Aruba,North America,193,11.26,6.57,5.89,79,1.79,71566,0.6,,,
Australia,Oceania,7686850,12.26,7.44,4.69,80,1.76,20090437,5.1,0.1,,14000
Austria,Europe,83870,8.81,9.7,4.66,79,1.36,8184691,4.4,0.3,100,10000
Azerbaijan,Europe,86600,20.4,9.86,81.74,63,2.44,7911974,1.2,0.1,100,1400
Bahamas,North America,13940,17.87,8.97,25.21,66,2.2,301790,10.2,3,200,5600
Bahrain,Asia,665,18.1,4.08,17.27,74,2.63,688345,15,0.2,200,600
Bangladesh,Asia,144000,30.01,8.4,62.6,62,3.13,144319628,40,0.1,650,13000
Barbados,North America,431,12.83,9.17,12.5,71,1.65,279254,10.7,1.5,200,2500
Belarus,Europe,207600,10.83,14.15,13.37,69,1.39,10300483,2,0.3,1000,15000
Belgium,Europe,30528,10.48,10.22,4.68,79,1.64,10364388,12,0.2,100,10000
Belize,North America,22966,29.34,6.04,25.69,67,3.68,279457,12.9,2.4,,3600
